Affix	Abv.	Degree 1	Degree 2	Degree 3	Degree 4	Degree 5	Degree 6	Degree 7	Degree 8	Degree 9	Type	Description
zn	AAH	from ancient Egypt and Nile Valley	from ancient Horn of Africa	from ancient Maghreb	from ancient Saharan Africa	from Northern and Eastern Horn of Africa	from modern Mauritania, Mali, Niger, Burkina Faso, Chad, Sudan	from modern Maghreb	from modern Ethiopia, Somalia, Eritrea, Djibouti	from modern Egypt and Nile Valley		
zň	AAF	from ancient West Coast and Benin Coast of Africa	from ancient Central Africa	from ancient Southern Africa	from ancient East African Islands	from Sub-Saharan Africa	from modern Madagascar, Zanzibar, Mauritius, Reunión, Comoros	from modern Namibia, South Africa, Lesotho, Mozambique. Zimbabwe, Zambia, Angola, Malawi	from modern Cameroon Central African Republic, Gabon, Congo, DRC, Rwanda, Uganda, Kenya	from modern West Coast and Benin Coast of Africa		
žn	AAN	from ancient Gaul, Britain, Ireland, Scotland, North Sea and Channel islands	from ancent Gothic lands, Norse lands	from ancient Estonia, Finland, Latvia, Lithuania, Karelia	from ancient Hungary	from Northern and Western Europe	from modern Hungary	from modern Estonia, Finland, Latvia, Lithuania	from modern England, Teutonic Scandinavia, Germany, Low countries, Switzerland, Austria	from modern Ireland, Scotland, Wales, Brittany, Manx		
žň	AAE	from ancient Roman Empire, Iberia, France, Greece, Sicely, Corsica, Sardinia, Malta	from ancient Balkans	from ancient Slavic Europe	from ancient Georgia, Armenia, Azerbaijan, Caucasus Mountains, Kalmykia	from Southern and Eastern Europe	from modern Georgia, Armenia, Azerbaijan, Caucasus Mountains, Kalmykia	from modern Russia, Ukraine, Belarus, Poland, Czechia, Slovakia	from modern Croatia, Serbia, Slovenia, Montenegro, Bosnia, Bulgaria, N. Macedonia, Romania, Moldova	from modern Iberian Peninsula, Italy, Greece, Balkan coast, Mediterranean islands		
zp	SMO	mod X	absolute value of X, ｜X｜	natural logarithm of X, log X to the base e	to the base X [logarithmic base]	base-X [identifies X as the number base for counting/mathematics]	i・X, X times √-1	…th root of X	inverse of X	X-factorial; X!		
žp	HND	with hand extended frontward (i.e., as when offering to shake hand)	with hand extended or finger pointing to indicate orientational direction or to focus attention upon something	with hand held rigid and palm of hand facing outward (i.e., as when signifying someone to “halt”)	with hand (and arm) gesturing (i.e., as when “talking with one’s hands”)	with hand(s) balled into in a fist	with hand (and arm) gesturing (i.e., as when “talking with one’s hands”)	with hand held rigid and palm of hand facing outward (i.e., as when signifying someone to “halt”)	with hand extended or finger pointing to indicate orientational direction or to focus attention upon something	with hand extended frontward (i.e., as when offering to shake hand)		
ẓp	HUM	as associated with humans	for the benefit of humans	for use by humans	as planned by humans	as structured by humans	as a planned result of human action	as a consequence of human action	as an indicator of human presence/action	as a resource for use by humans		
zř	ROC	the result/impact/effect on the ERG/EFF Agent from(performing/doing) X	the result/impact/effect on the ABS Patient from (performing/doing) X	the result/impact/effect on the AFF Recipient from (performing/doing) X	the result/impact/effect on the THM argument from (performing/doing) X	the result/impact/effect on the INS argument (tools, implements) from(performing/doing) X	the result/impact/effect on the CSM argument (resources, consumables)from (performing/doing) X	(a piece/instance/amount of) the resulting physical substance from(performing/doing/finishing) X	the resulting tangible product from (performing/doing/finishing) X	the overall circumstances/situation resulting from (performing/doing) X,		
žř	MMA	functioning metaphorically	functioning as a metonym	functioning as an analogy	functioning as an allusion	meant literally, without any metaphorical/metonymical/analogical implication	allusion to	analogy for	metonym for	metaphor for		
ẓr	S12	interior movement through frontal middle	inside movement at frontal middle	movement into frontal middle	movement throughout frontal middle	movement across frontal middle	at frontal middle	movement out of frontal middle	outside movement at frontal middle	exterior movement along frontal middle	D1	Planar 2D middle, center running its length parallel and its width perpendicular to the profile (sagittal plane) of the entity
ẓř	SDP	first, top, front, lefthand or lead “half” of duplex set or pair (e.g., upper lip, inhale/inhalation, lefthand)	beginning or leading “edge” of the first, top, front, lefthand or lead “half” of a duplex entity	middle section of the first, top, front, lefthand or lead “half” of a duplex entity	ending or trailing “edge” of the first, top, front, lefthand or lead “half” of a duplex entity	midpoint, peak, or lull between the 2 halves of a duplex set or pair	beginning or leading “edge” of 2nd, bottom, back, righthand or trailing “half” of a duplex entity	middle section of 2nd, bottom, back, righthand or trailing “half” of a duplex entity	ending or trailing “edge” of 2nd, bottom, back, righthand or trailing “half” of a duplex entity	2nd, bottom, back, righthand or trailing “half” of duplex set or pair (e.g., lower lip, exhale/exhalation, right hand)		
zt	MNS	maintain in pristine/ideal state without needing/applying X	maintain in pristine/ideal state by requiring/obtaining X	maintain in pristine/ideal state by applying/providing X	maintain (in) the state that requires X (where X has not yet occurred or been applied)	be (in) the state where X must be constantly maintained/present/applied	maintain (in) the state resulting from X-ing or having X’d/maintain (in) the resulting state after (having) X(‘d)	(able to) maintain (in) the state of X only by constant monitoring and upkeep/maintain (in) the state of X-ing but requiring constant monitoring and upkeep	(able to) maintain (in) the state of X but requiring periodic monitoring or upkeep/maintain (in) the state of X-ing but requiring periodic monitoring or upkeep	(able to) maintain (in) the state of X without requiring further monitoring or upkeep/maintain (in) the state of X-ing without requiring further monitoring or upkeep		
zţ	CPI	ammonium	fluoronium	hydronium	pyrylium	phosphonium	guanidinium	tropylium	triphenylcarbenium	cyclopropenium		
žt	AR1	with both arms extended upward parallel to each other	with both arms extended upward in a “V” shape	with both arms extended outward to the sides	with both arms extended/reaching forward/frontward	with both arms at one’s sides	with one arm extended forward/frontward	with one arm extended outward to the side	with one arm extended upward at an angle	with one arm extended upward vertically		
ẓt	VPF	long axis obliquely angled/inclined away from the vertical/right-angled/rectilinear/perpendicular	elongated lengthwise/heightwise	elongated widthwise/girthwise	curved away from right-angled/rectilinear orientation	truncated at small/pointed/shorter/smaller end at angle parallel to base	truncated at small/pointed/shorter/smaller end at oblique angle to base	quasi-planar longitudinal (i.e., perpendicular to base) slice through 3-D form X	quasi-planar oblique slice through 3-D form/shape X	quasi-planar latitudinal (i.e., parallel to base) slice through 3-D form X		
ẓţ	PIB	sulfite	nitrite	chlorite	arsenite	hydroxide	chromite	bromite	phosphite	iodite	0	Polyatomic Ions group B
